Source;DOI;Url;Title;Year;Author;Abstract;First Round Decision;First Round Reason;Exclusion Criteria;Second Round Decision;Second Round Notes;Argumentation;Case Focus (Common Law);Statutes focus (Civil Law);Is Ontology;Formalization (Type of Logic);Reacts To Changes in the law;Mentions Conversion;Level of Automation on Creation;Human Understandability;Level of Involvment by legal practitioners in the creation of the methodology;BPC mentioned;Purpose;Demonstrated in Domain (This does not preclude genearl applicability);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/1920320.1920325;https://doi.org/10.1145/1920320.1920325;ENDORSE: a legal technical framework for privacy preserving data management;2010;"Malone, Paul; McLaughlin, Mark; Leenes, Ronald; Ferronato, Pierfranco; Lockett, Nick; Guillen, Pedro Bueso; Heistracher, Thomas; Russello, Giovanni";The ENDORSE project is concerned with providing assurances for data protection for both data controllers and data subjects. The project will define a rules based language called PRDL (Privacy Rules Definition Language) which can be used to express legislative requirements, organizational privacy policy as well as user consent. ENDORSE will provide a rules engine to ensure that privacy policies expressed in this language are compliant with legislative requirements for the applicable jurisdictions. In addition a set of technology adapters will be developed which will provide transformations from PRDL to target access control and policy configuration instances, which in turn can be used by organizations to ensure that internal data handling practices are in turn compliant. In parallel to this effort a certification methodology will be developed to provide a means of generating a privacy seals. This paper describes an overview of the project, the motivation behind the initiative, its aims and objectives as well as an introduction to the approach taken and technologies foreseen to achieves these aims. The paper also provides a discussion of how the results of the project can be applied in different scenarios.;Yes;Privacy specific but should be fine;;No;This seems like a very detailed research proposal. The formalisations are not yet provided;;;;;(Privacy Rules Definition Language, describes as similar to RuleML, so could be basically anything;;Yes (future work, adapters);;;;;Compliant Data Managment;Privacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3474624.3477069;https://doi.org/10.1145/3474624.3477069;Developing an Inspection Checklist for the Adequacy Assessment of Software Systems to Quality Attributes of the Brazilian General Data Protection Law: An Initial Proposal;2021;"Mendes, João; Viana, Davi; Rivero, Luis";"The General Data Protection Law (LGPD) in Brazil was created with the goal of regulating how associations collect, transmit and store users’ personal data. Although it became applicable in 2020, several software development teams still don’t know what quality attributes are necessary for a system to comply with such law and to avoid legal and monetary penalties. Furthermore, there are still no checklists for verifying quality criteria related to the Brazilian LGPD. In this paper, an inspection checklist is proposed to evaluate software systems regarding their adherence to the Brazilian LGPD. We identified the attributes from papers describing the impact of the law in the development of Brazilian software systems; and from papers describing existing techniques and quality attributes for evaluating the adherence of software systems to laws from other countries. The final evaluation checklist contains a total of 52 attributes distributed in evaluation categories, such as: transparency, legal rights, security, contentment and responsibility. To assess the proposed checklist, we applied the checklist to evaluate a government web application. The initial results indicate that the current version of the checklist allows the identification of problems regarding the adherence of software systems to the Brazilian LGPD.";Yes;Not 100% sure bit specific but might work;;No;EX2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.159003;https://doi.org/10.1145/158976.159003;Legal knowledge acquisition using case-based reasoning and model inference;1993;"Yamaguti, Takahira; Kurematsu, Masaki";Although Case-Based Reasoning comes out in order to solve knowledge acquisition bottleneck, a case structure acquisition bottleneck has emerged, superseding it. Because we cannot decide an appropriate case structure in advance, a framework for CBR should be able to improve a case structure dynamically, collecting and analyzing cases. Here is discussed a new framework for knowledge acquisition using CBR and model inference. Model Inference tries to obtain new descriptors(predicates) with interaction of a domain expert, regarding the predicate as the slots that compose a case structure, with an eye to the function of theoretical term generation. The framework has two features: (1) CBR obtains a more suitable group of slots (a case structure) incrementally through cooperation with model inference, and (2) model inference with theoretical term capability discovers the rules which deal with a given task better. Furthermore, we evaluate the feasibility of the framework by implementing it to deal with law interpretation and certify two features with the framework.;Yes;Case based;;Yes;;No;Yes;Yes;No;Horn clauses (as anb end result);No;No (Only from cases to the horn clauses);semi-automated;Optimized (slightly);No;No;Knowledge Acquisition;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/323706.323709;https://doi.org/10.1145/323706.323709;Toward adding knowledge to learning algorithms for indexing legal cases;1999;"Brüninghaus, Stefanie; Ashley, Kevin D.";Case-based reasoning systems have shown great promise for legal argumentation, but their development and wider availability are still slowed by the cost of manually representing cases. In this paper, we present our recent progress toward automatically indexing legal opinion texts for a CBR system. Our system SMILE uses a classification-based approach to find abstract fact situations in legal texts. To reduce the complexity inherent in legal texts, we take the individual sentences from a marked-up collection of case summaries as examples. We illustrate how integrating a legal thesaurus and linguistic information with a machine learning algorithm can help to overcome the difficulties created by legal language. The paper discusses results from a preliminary experiment with a decision tree learning algorithm. Experiments indicate that learning on the basis of sentences, rather than full documents, is effective. They also confirm that adding a legal thesaurus to the learning algorithm leads to improved performance for some, but not all, indexing concepts.;Yes;legal case;;No;"Indexing legal cases could be interesting, but this is a ""toward"" paper so will be strict here";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.158990;https://doi.org/10.1145/158976.158990;Towards a legal analogical reasoning system: knowledge representation and reasoning methods;1993;"Yoshino, Hajime; Haraguchi, Makoto; Sakurai, Seiichiro; Kagayama, Sigeru";Analogy has many important functions in the domain of law. Since the number of legal rules is restricted and their content is often incomplete, it is necessary at times for a lawyer to opt for an analogical application of a legal rule to a given case in order to decide the case properly. He may apply the rule, though it may not have originally been deemed related to such an event, on the basis of some similarity between the event of the case and the requirement of the relevant legal rule. This type of reasoning is called legal analogy. This paper analyzes an actual case of legal analogy in the field of Japanese civil law in order to clarify the reasoning methods used in analogy, as well as knowledge to justify the analogy. Finally it will be shown how the knowledge is utilized in a symbolic reasoning system both in terms of inverse and standard resolution.;Yes;;;Yes;;Yes;No;Yes;No;Horn Clauses;No;No;Manual;Not optimized;Yes (author);No;Reasoning;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/277339.277344;https://doi.org/10.1145/277339.277344;An application of rule-based and case-based reasoning within a single legal knowledge-based system;1997-09;"Pal, Kamalendu; Campbell, John A.";A knowledge-based system, Advisory Support for Home Settlement in Divorce (ASHSD), which gives advice on different aspects of matrimonial-home-settlement in English divorce law is described. The system employs two reasoning methods, rule-based reasoning (RBR) and case-based reasoning (CBR) in an integrated framework. It automates the estimation of the relative suitability of these reasoning methods for any given new case. This relative suitability is judged by matching the features of the selected best case and best rule against the new case. Standard methods of numerical taxonomy are used to determine which of the matches is best, and therefore whether a new case is better solved by calling on rules that express the usual legal knowledge in the area or by referring to a past case that has a interpretation of an ambiguous situation which rules fail to underpin.;Yes;not 100% sure;;Yes;;No;Yes;Yes;No;"IF... THEN for statues; semi-formal collection of facts for cases";No;No;Manual;Not optimized;Yes;No;Legal decision support;Home Settlement in Divorce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2254129.2254162;https://doi.org/10.1145/2254129.2254162;Towards law-aware semantic cloud policies with exceptions for data integration and protection;2012;"Hu, Yuh-Jong; Wu, Win-Nan; Cheng, Di-Rong";The main issues related to cloud computing implementation are security, privacy, and law-awareness. We consider data protection with law-awareness as the major concern for cloud service providers (CSPs) and their customers. Therefore, we provide Law-as-a-Service (LaaS) for CSPs on our law-aware semantic cloud policy infrastructure. The semantic legal policies in compliance with the laws are enforced automatically at the super-peer to enable LaaS. This allows CSPs to deploy their cloud resources and services without worrying about law violations. Afterward, users could query data from the law-aware super-peer within a super-peer domain. Each query is also compliant with the laws. Policies are shown as a combination of OWL-DL ontologies and stratified Datalog rules with negation for a policy's exceptions handling through defeasible (or non-monotonic) reasoning. Finally, the proof-of-concepts prototype systems have been implemented for an H1N1 pandemic investigation scenario in the semantic cloud to justify our approach.;Yes;Does not hit the naul on the head, but yes, contains LKM;;Yes;Start 6.1;No;No;Yes;No;"Description Logic (DL)based ontologies; Datalog";Yes;No;Manual;Not optimized;No;No;Compliance of policies;Privacy, Cloud computing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;;https://dl.acm.org/doi/pdf/10.5555/1123196.1123283;Regulatory information management and compliance assistance;2003;"Kerrigan, Shawn; Heenan, Charles; Wang, Haoyi; Law, Kincho H.; Wiederhold, Gio";The REGNET Project aims to develop a formal information infrastructure for regulatory information management and compliance assistance. This paper discusses three components of current research and development efforts. The first is a document repository containing federal and state regulations and supplemental documents. This repository includes a suite of concept hierarchies that enable users to browse documents according to the terms they contain. The second is an XML framework for representing regulations and associated metadata. The XML framework enables the augmentation of regulation text with tools and information that will help users understand and comply with the regulation. The third component is the creation of a compliance assistance system built upon the XML framework. The compliance assistance system and the document repository can serve as a backend for the development of application-specific compliance guidance systems. The prototype effort for the document repository has been focused on environmental regulations and related documents. The compliance assistance system is illustrated in the domain of used oil management.;Yes;;;No;How many regnet papers are there??? Will exclude this one because it focuses on the document repo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2064713.2064727;https://doi.org/10.1145/2064713.2064727;Semantic-ART: a framework for semantic annotation of regulatory text;2011;"Sapkota, Krishna; Aldea, Arantza; Duce, David A.; Younas, Muhammad; Bañares-Alcántara, René";Converting regulatory texts to machine interpretable models can enhance the automation of compliance management (CM) processes. The process poses serious research challenges as the information to be extracted from the regulatory texts comes from different regulatory bodies and is in different formats. In this paper, we present the main problems that we have faced in this area and how we have tackled them. Our proposed framework, Semantic-ART, considers the use of semantic annotation (SA) techniques to extract the regulations automatically.;Yes;;;Yes;;No;No;Yes;No, uses;KB according to SemReg ;No;No (just file formats);Semi-automatic;Not optimized;No;Yes;Compliance;Pharma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;;https://dl.acm.org/doi/pdf/10.5555/2663546.2663572;Law and adaptivity in requirements engineering;2013;"Ingolfo, Silvia; Souza, Vítor E. Silva";The great impact that law has on the design of software systems has been widely recognized in past years. However, little attention has been paid to the challenge of coping with variability characterizing the legal domain (e.g., multiple ways to comply with a given law, frequent updates to regulations, different jurisdictions, etc.) on the design of software systems. This position paper advocates the use of adaptation mechanisms in order to support regulatory compliance for software systems. First we show an example of how Zanshin, a requirements-based adaptation framework, can be used to design a system that adapts to legal requirements to accommodate legal variability. Then we examine how legal texts can be analyzed as sources for parameters and indicators needed to support adaptation. As motivating running example we consider legal situations concerning the Google driverless car and its recent legalization in the highways of Nevada and soon also in California.;Yes;Difficult as basically just for requirements engineering, but nonetheless interesting lkm;;No;"Position paper; Although technically this seems to contain more info than many papers I have included";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/1882992.1883092;https://doi.org/10.1145/1882992.1883092;The production rule framework: developing a canonical set of software requirements for compliance with law;2010;"Maxwell, Jeremy C.; Antón, Annie I.";The cost of noncompliance, as well as lost reputation and brand damage resulting from noncompliance, makes legal compliance critical in software systems. In this paper, we present a production rule framework that software engineers can to specify compliance requirements for software. A component of our framework is the production rule modeling methodology, which we have introduced in previous work [12, 14]. We apply the framework to check iTrust, an open source electronic medical records system, for compliance with the Health Insurance Portability and Accountability Act (HIPAA) Security Rule. We model the Security Rule using production rules and employ the model to analyze the iTrust requirements for legal compliance. Using the framework, we were able to identify 13 functional and 5 non-functional requirements that were previously overlooked using an agile driven software engineering approach. These new requirements are critical for compliance with the Security Rule.;Yes;Difficult as basically just for requirements engineering, honestly this one is a bit on edge, I think I would kick it;;Yes;;No;No;Yes;No;Prolog;No;No;Manual;Yes, UI;No;Yes;Compliance;"Privacy (Medicine); Software Development";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.158989;https://doi.org/10.1145/158976.158989;The use of meta-rules in rule based legal computer systems;1993;"Schild, Uri J.; Herzog, Shai";Rule-Based Systems in the legal domain are often obtained by formalizing legislation. We consider the addition of meta-knowledge in the form of meta-rules to such a system. Such an approach has many advantages both for control and for dealing with the intrinsic vagueness of legal rules. Legal computer systems of different kinds have been proposed and built over the years. In this paper we shall present a legal reasoning system which uses concepts discussed in this paper. The system consists of a knowledge base, obtained by formalizing legislation, and uses a meta-rules mechanism for deduction and legal reasoning.;Yes;ICP, meta knowledge;;Yes;;No;No;Yes;No;"Prolog: Horn Based Rules; Higher level rules (rules on rules) ";No;No;"Manual; With automatic inference of new rules";Not optimized;No;No;Meta reasoning about rules;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/74014.74034;https://doi.org/10.1145/74014.74034;Legal reasoning - a jurisprudential description;1989;Wahlgren, P.;This paper provides a description of a legal reasoning process. The presentation originates from a research project combining Law and Artificial Intelligence (AI) and contains theoretical results from system-developing activities that have been carried out in cooperation with the Swedish Court Administration and a major Swedish employer's association. The research project, and several parallel projects at the Swedish Law and Informatics Research Institute (IRI), is being documented in the series IRI-reports.Related work, especially focusing on computerized formalization of legal norms and legal decision processes from a jurisprudential perspective is carried out at The Norwegian Research Center for Computers and Law, but contributions have also been made by many others1 and legal reasoning has been investigated from somewhat different perspectives2.;Yes;;;No;Too high level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/74014.74029;https://doi.org/10.1145/74014.74029;Representing and reusing explanations of legal precedents;1989;Branting, L. K.;Precedent-based legal reasoning depends on accurate assessment of relevant similarities between new cases and existing precedents. Determining the relevant similarities between a new case and a precedent with respect to a legal category requires knowing the explanation of the precedent's membership in the category. GREBE is a system that uses both general legal rules and specific explanations of precedents to evaluate legal predicates in new cases. GREBE assesses the similarity of a new case to a precedent of a legal category by attempting to find a pattern of relations in the new case that corresponds to the facts of the precedent responsible for its category membership. Missing relations in the new case are inferred by reusing other explanations from past cases.;Yes;Precendent Law;;;This paper barely explains anything?;Yes;Yes;No;No;"semantic networks; Some unspecified common sense rules?";No;No;Manual;Not op;Yes;No;Legal argumentation;Workers Compensation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;;https://dl.acm.org/doi/pdf/10.5555/1123196.1123254;Generating original structure in regulatory documents;2003;"Kimbrough, Steven O.; Lee, Thomas Y.; Padmanabhan, Balaji; Yang, Yinghui";"As technology and society continue to evolve, the size of the corpus of government policies and procedures continues to more than keep pace. The U.S. Federal Tax Code today consumes over 2.8 million words or 6000 pages. There are more than 20,000 cross-references both within the code itself and to external regulations. Navigating the sea of information is a daunting task for the IRS let alone a well-intentioned tax payer, or policy-maker seeking to eliminate redundancies, inconsistencies, or loopholes. While tools for tasks such as compliance checking or query answering have long held promise, automated reasoning, however intelligent, needs something to reason upon, a formalized knowledge base of some kind. In other domains people may be the primary targets of knowledge engineering; in the policy realm, much of the requisite knowledge resides in legal and regulatory documents.";Yes;TODO check if paper actually contains novel ideas;;No;"position paper, that reasoning is good :+1;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3322640.3326729;https://doi.org/10.1145/3322640.3326729;MagnetDroid: security-oriented analysis for bridging privacy and law for Android applications;2019;"Uliana, Emanuele; Stathis, Kostas; Jago, Robert";MagnetDroid is a novel artificial intelligence framework that integrates a security ontology, a multi-agent organisation, and a logical reasoning procedure to help build a bridge between the worlds of Android application analysis and law, with respect to privacy. Our contribution helps identify violations of the law by Android applications, as well as predict legal consequences. The resulting implementation of MagnetDroid can be useful to privacy-concerned users in order to acknowledge problems with the privacy of the applications they use, to application developers/publishers to help them identify which problems to fix, and to lawyers in order to provide an additional level of interpretation for any court when considering the privacy of Android applications.;Yes;Not 100% sure, this is law representation but maybe not applicable for BPC;;Yes;Starting with 4.1;No;No;Yes;No;Prolog;No;No;Manual;No;Yes (author);No;Compliance;"Data Protection; Android";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.158980;https://doi.org/10.1145/158976.158980;Monological reason-based logic: a low level integration of rule-based reasoning and case-based reasoning;1993;Hage, Jaap;This paper contains an informal introduction to a theory about legal reasoning (reason-based logic) that takes the notion of a reason to be central. Arguing for a conclusion comes down to first collecting the reasons that plead for and against the conclusion, and second weighing them. The paper describes how we can establish the presence of a reason and how we can argue whether the reasons for or the reasons against the conclusion prevail. It also addresses the topic of meta-level reasoning about the use of rules in concrete cases. It is shown how both rule-based reasoning and case-based reasoning are naturally incorporated in the theory of reason-based logic.;Yes;Contains both case and rule based reasoning;;Yes;Shows how case and rule based logic can be unified;No;Yes;Yes;No;"Prolog, (""domain specific"" language Monological Reason-Based Logic, but implemented using Horn Clauses in Prolog)";No;No;Manual;No;No;No;Reasoning;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.159008;https://doi.org/10.1145/158976.159008;KICS: a knowledge-intensive case-based reasoning system for statutory building regulations and case histories;1993;"Yang, Soon-Ae; Robertson, Dave; Lee, John";"There have been several knowledge-based systems for statutory building regulations during the last decade, such as Fenves et al's systems using the SASE model, Stone and Wilcox's system using a rule-based approach, and Waard's system using Cornick et al;'s model-based approach. However, they take into account only one side of building regulations, considering them only in the context of design systems and ignoring the existence of case histories. Building regulations are also part of a legal system and have characteristics of law. In this paper, we propose a Knowledge-Intensive Case-based reasoning System which can be used for the retrieval and maintenance of building regulations and case histories. First, we propose a unified knowledge representation scheme for both statutory building regulations and case histories. Second, we describe the retrieval of regulations information, which uses the notion of implied similarity as well as structural mapping. Finally, we describe knowledge acquisition from case histories, which is guided by knowledge gained from statutory regulations and case histories.";Yes;Contains both case and rule based reasoning;;Yes;;No;Yes;Yes;Yes;Prolog like subset of FOL (Guessing from the examples….);Yes (mentioned, but is done manually);No;Manual;No;No;No;Compliance;Building regulations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2746090.2746111;https://doi.org/10.1145/2746090.2746111;Evaluating the use of abstract dialectical frameworks to represent case law;2015;"Al-Abdulkarim, Latifa; Atkinson, Katie; Bench-Capon, Trevor";Abstract Dialetical Frameworks (ADFs) are a recent development in computational argumentation which are, it has been suggested, a fruitful way of implementing theories of case law expressed in terms of factors. In this paper we evaluate this proposal, by representing the CATO analysis using ADFs. We evaluate the ease of implementation, the efficacy of the resulting program, ease of refinement of the program, transparency of the reasoning, relation to formal argumentation techniques, and transferability across domains.;Yes;Case law but at least argumentative reasoning;;Yes;;Yes;Yes;No;No;ADF (Prolog);No;Yes, From CATO, To Prolog;Manual;No;No;No;Reasoning;Trade Secrets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/158976.158997;https://doi.org/10.1145/158976.158997;Beyond knowledge representation: commercial uses for legal knowledge bases;1993;"Dayal, Surendra; Harmer, Michael; Johnson, Peter; Mead, David";At the 1991 Conference, SoftLaw presented a paper dealing with issue which arise in the modelling of legislation as English sentences and rules which a computer can process. Using the techniques outlined in that article, knowledge bases may be constructed to model areas of the law, especially those concerned with public administration. This paper illustrates the incorporation of such knowledge bases into a large scale application. This type of application may be used to drive the business of any organisation which primarily administers a large body of rules (legislative or otherwise).Firstly, the paper gives a background description of the role played by ASSESS, a large scale application whose processing is based around legal knowledge bases.Secondly, the system architecture of ASSESS is examined, focusing on: (i) the overall architecture of the application, and why that architecture was adopted, (ii) the structure of the knowledge based component of the application, and the reasons for that structure.;Yes;;;No;To systems focused, not implementation focused enough, does not mention how the legal rules are encoded;;;;;;;;;Yes, UI;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/1082473.1082576;https://doi.org/10.1145/1082473.1082576;Knowledge and social laws;2005;"van der Hoek, Wiebe; Roberts, Mark; Wooldridge, Michael";In this paper we combine existing work in the area of social laws with a framework for reasoning about knowledge in multi-agent systems. The unifying framework in which this is done is based on Alternating-time Temporal Logic (ATL), to which semantics we add epistemic accessibility relations (to deal with the knowledge), actions (in order to naturally talk about allowed and forbidden actions) and updates (to model the effect of the implementation of the constraint in a social law). Apart from a constraint, a social law has an objective: in our formalism, such objectives may refer to the knowledge that agents possess or do not possess. The result is a framework in which we can, for example, express that a desirable property (objective) of a social law is that one agent has the ability to bring about a certain type of knowledge in another agent, or that if one agent knows something, then it should behave in a certain way. We illustrate our approach with a case study, and we use model checking to demonstrate that properties of social laws with respect to this case study.;Yes;Agent view;;No;Social Laws are not laws….;No;No;No;No;Alternating Temporal Epistemic Logic (ATEL);No;Manual;;Not Optimized;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3086512.3086533;https://doi.org/10.1145/3086512.3086533;Formalizing arguments, rules and cases;2017;Verheij, Bart;"Legal argument is typically backed by two kinds of sources: cases and rules. In much AI &amp; Law research, the formalization of arguments, rules and cases has been investigated. In this paper, the tight formal connections between the three are developed further, in an attempt to show that cases can provide the logical basis for establishing which rules and arguments hold in a domain. We use the recently proposed formalism of case models, that has been applied previously to evidential reasoning and ethical systems design. In the present paper, we discuss with respect to case-based modeling how the analogy and distinction between cases can be modeled, and how arguments can be grounded in cases. With respect to rule-based modeling, we discuss conditionality, generality and chaining. With respect to argument-based modeling, we discuss rebutting, undercutting and undermining attack. We evaluate the approach by developing a case model of the rule-based arguments and attacks in Dutch tort law. In this way, we illustrate how statutory, rule-based law from the civil law tradition can be formalized in terms of cases.";Yes;mixture of rules and cases, might have to check paper as focus seems to lie on cases;;Yes;"""This and related work has shown that the formal and computational relations between arguments, rules and cases are close""";Yes;Yes;Yes;No;Propositional Logic;No;No;Manual;No;No;No;Reasoning;tort law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2746090.2746120;https://doi.org/10.1145/2746090.2746120;RuleOMS: a rule-based online management system;2015;"Islam, Mohammad Badiul; Governatori, Guido";We propose an architecture for a rule-based online management systems (RuleOMS). Typically, many domain areas face the problem that stakeholders maintain databases of their business core information and they have to take decisions or create reports according to guidelines, policies or regulations. To address this issue we propose the integration of databases, in particular relational databases, with a logic reasoner and rule engine. We argue that defeasible logic is an appropriate formalism to model rules, in particular when the rules are meant to model regulations. The resulting RuleOMS provides an efficient and flexible solution to the problem at hand using defeasible inference. A case study of an online child care management system is used to illustrate the proposed architecture.;Yes;No obvious from the abstract, but this also contains legal representation;;Yes;;No;No;Yes;No;Defeasible Logic;No;Yes, From realational database to part to DL;Manual;No, they argue JSON is easy for humans to read, which is not a lie, but I do not want to count that;No;Yes;Compliance;Child Care Management System;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;;https://dl.acm.org/doi/10.5555/2484920.2485116;Law enforcement in norm-governed learning agents;2013;"Riveret, Régis; Contissa, Giuseppe; Rotolo, Antonino; Pitt, Jeremy V.";We study law enforcement mechanisms within a population of norm-governed learning agents. We show that a traditional analysis based on expected utility can be misleading, because learning agents tend to comply even though their surveillance is stopped. This has significant implications for the design of self-organising institutions with endogenous resources, where the cost of monitoring and norm enforcement has to be taken into consideration.;Yes;Cars, but also kind of relevant as it does show a type of compliance. Not BPC though;;No;This is not really about representing law and reasoning with it, but ist influence on agents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/1568234.1568248;https://doi.org/10.1145/1568234.1568248;Case law in extended argumentation frameworks;2009;"Bench-Capon, Trevor; Modgil, Sanjay";In this paper we discuss how recent developments in argumentation frameworks, most notably Extended Argumentation Frameworks, can inform the representation of a body of case law using abstract argumentation techniques. This builds on previous work which has first used abstract Argumentation Frameworks, and then Value based Argumentation Frameworks for this purpose.Extended Argumentation Frameworks augment Argumentation Frameworks to not only allow arguments to be attacked, but also attacks to be attacked. This allows argumentation based reasoning about information normally assumed to be metalevel to the object level domain of argumentation, including argumentation over preferences, values and the audience based ranking of values promoted by arguments. The Extended Argumentation Frameworks can then be rewritten as standard Argumentation Frameworks, so that cases, and values and their rankings relevant to the cases, can be reasoned about using standard dialogue games for Argumentation Frameworks. In this way precedents can be represented as collections of arguments and dialogues using these arguments. Now, when confronted with a new case, these dialogues may be used to identify ways of deploying the arguments in the new case so as to reach a favourable position.;Yes;Argumentation, though I am starting to doubt not including argumentation is a great idea;;Yes;;Yes;Yes;No;No;(Extended) Argumentation Framework;No;Yes, Value based argumentation frameworks (VAF) to argumentation frameworks (AF);Manual;No toptimized;No;No;Reasoning;Animal Ownership (cases);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/1594139.1594151;https://doi.org/10.1145/1594139.1594151;Law-aware access control for international financial environments;2009;"Stieghahn, Michael; Engel, Thomas";Financial institutions are restricted by legislation and have to ensure that mobile access to data is legal in a defined context. However, today's access control solutions work but cannot decide whether an access is legal. Especially when an access from different countries is required different legislations have to be taken into account. In this paper, we address the problem of a law-compliant access in international financial environments. We present an extension to context-aware access control systems so that they incorporate legal constraints. To this end, we introduce different facets of context information, their interrelations, and describe their necessity for a law-aware access control. Finally, by using an international banking application scenario, we demonstrate how a system that follows our approach can decide about access.;Yes;;;Yes;;No;No;Yes;No;RBAC variation, with context (temporal, locational);Yes;No;Manual;No;No;No;Access Control;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2018358.2018376;https://doi.org/10.1145/2018358.2018376;The systematization of law in terms of the validity;2011;Yoshino, Hajime;In legal praxis, it is important to decide what legal relations exist in a legal problem-event on the one hand and to decide what legal rules are applicable to decide it in terms of the validation by contract through constitution or convention on the other hand. These dimensions are strongly related with each other. This paper clarifies the logical structure of a legal system to decide the above two dimension in unified reasoning in terms of the validity of legal sentences. It provides a logical model of reasoning the validity of legal sentences for a unified legal reasoning system, in which legal relations according to the time progress of legal problem-events are decided and at the same time the applicability of relevant legal rules to decide them is decided. We demonstrate the legitimacy and efficiency of this model by applying it to concrete examples and showing how legal meta-sentences and legal meta-inference work in this model.;Yes;;;Yes;;No;No;Yes;No;First order logic (Compound Predicate Formula);No (just on a meta leval, meta rule that new law have precedent over old ones);No;Manual;No;No;No;Reasoning;Contract law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
